node_id,label,node_type,degree,degree_centrality,betweenness_centrality,closeness_centrality,pagerank
RS,Recommendation Systems,Research area,5,0.3571428571428571,0.5384615384615385,0.56,0.12971890809868664
AI,Artificial Intelligence,Research area,3,0.21428571428571427,0.2509157509157509,0.4666666666666667,0.07897051969569385
DL,Deep Learning,Method,4,0.2857142857142857,0.19230769230769232,0.4666666666666667,0.1010876032563883
CV,Computer Vision,Research area,3,0.21428571428571427,0.16666666666666669,0.4375,0.07949162751418684
GNN,Graph Neural Networks,Method,3,0.21428571428571427,0.1611721611721612,0.5,0.06300452219841791
EduTech,Educational Technology,Application,3,0.21428571428571427,0.15384615384615385,0.4375,0.07846511236352488
CF,Collaborative Filtering,Method,2,0.14285714285714285,0.1098901098901099,0.42424242424242425,0.054266550509823076
Personalize,Personalized Content,Outcome,2,0.14285714285714285,0.05494505494505495,0.3888888888888889,0.052558046092681734
NLP,Natural Language Processing,Research area,3,0.21428571428571427,0.04578754578754579,0.4375,0.07159766535577515
SmartMedia,Smart Multimedia,Application,3,0.21428571428571427,0.04395604395604396,0.3783783783783784,0.06500772677702674
Engage,Engagement Prediction,Outcome,2,0.14285714285714285,0.02197802197802198,0.3783783783783784,0.05079907912529258
PyTorch,PyTorch,Tool,2,0.14285714285714285,0.01098901098901099,0.3684210526315789,0.04375405972849889
Python,Python,Tool,3,0.21428571428571427,0.01098901098901099,0.3888888888888889,0.04856352503849475
HCI,Human-Computer Interaction,Research area,2,0.14285714285714285,0.0,0.32558139534883723,0.04454406983342428
NetworkX,NetworkX,Tool,2,0.14285714285714285,0.0,0.3783783783783784,0.03817098441208437
