status_id,status_type,status_published,num_reactions,num_comments,num_shares,total_engagement
499,video,2016-11-30 08:46:00,564,20990,154,21708
481,video,2016-12-09 21:48:00,452,19013,161,19626
6758,video,2017-09-25 10:35:00,708,17404,913,19025
3247,video,2018-01-08 01:10:00,624,12003,856,13483
6763,video,2017-09-21 08:01:00,634,10960,783,12377
3893,video,2018-05-09 08:17:00,1078,9452,1379,11909
6800,video,2017-09-09 10:05:00,553,10926,429,11908
6449,video,2018-02-27 10:29:00,576,10186,793,11555
6776,video,2017-09-16 10:00:00,422,9831,592,10845
6660,photo,2017-11-24 02:23:00,272,10194,25,10491
