status_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,reaction_components_total,reaction_count_gap,total_engagement,like_to_comment_ratio,share_to_engagement_ratio,positive_reaction_percentage,negative_reaction_percentage,posting_hour,day_of_week,month,week_number,is_weekend,time_of_day,engagement_category,engagement_outlier
2635,photo,2012-07-15 02:51:00,15,3,0,15,0,0,0,0,0,15,0,18,5.0,0.0,100.0,0.0,2,Sunday,2012-07,28,True,Overnight,Low,False
2634,photo,2012-07-15 02:58:00,14,7,0,14,0,0,0,0,0,14,0,21,2.0,0.0,100.0,0.0,2,Sunday,2012-07,28,True,Overnight,Low,False
2633,photo,2012-07-15 03:32:00,14,1,0,14,0,0,0,0,0,14,0,15,14.0,0.0,100.0,0.0,3,Sunday,2012-07,28,True,Overnight,Low,False
2632,photo,2012-07-15 03:42:00,12,3,0,12,0,0,0,0,0,12,0,15,4.0,0.0,100.0,0.0,3,Sunday,2012-07,28,True,Overnight,Low,False
2631,photo,2012-07-15 03:54:00,19,17,3,19,0,0,0,0,0,19,0,39,1.1176470588235294,0.07692307692307693,100.0,0.0,3,Sunday,2012-07,28,True,Overnight,Medium,False
2630,photo,2012-07-15 04:00:00,13,2,0,13,0,0,0,0,0,13,0,15,6.5,0.0,100.0,0.0,4,Sunday,2012-07,28,True,Overnight,Low,False
2629,photo,2012-07-15 04:04:00,12,4,0,12,0,0,0,0,0,12,0,16,3.0,0.0,100.0,0.0,4,Sunday,2012-07,28,True,Overnight,Low,False
2628,photo,2012-07-15 04:09:00,13,4,0,13,0,0,0,0,0,13,0,17,3.25,0.0,100.0,0.0,4,Sunday,2012-07,28,True,Overnight,Low,False
2627,photo,2012-07-15 05:07:00,15,11,0,15,0,0,0,0,0,15,0,26,1.3636363636363635,0.0,100.0,0.0,5,Sunday,2012-07,28,True,Overnight,Low,False
2626,photo,2012-07-15 05:26:00,14,1,0,14,0,0,0,0,0,14,0,15,14.0,0.0,100.0,0.0,5,Sunday,2012-07,28,True,Overnight,Low,False
2625,photo,2012-07-15 06:35:00,18,0,0,18,0,0,0,0,0,18,0,18,0.0,0.0,100.0,0.0,6,Sunday,2012-07,28,True,Morning,Low,False
2624,photo,2012-07-15 06:36:00,21,3,0,21,0,0,0,0,0,21,0,24,7.0,0.0,100.0,0.0,6,Sunday,2012-07,28,True,Morning,Low,False
2623,photo,2012-07-15 06:37:00,10,5,0,10,0,0,0,0,0,10,0,15,2.0,0.0,100.0,0.0,6,Sunday,2012-07,28,True,Morning,Low,False
2622,photo,2012-07-15 08:54:00,24,39,0,24,0,0,0,0,0,24,0,63,0.6153846153846154,0.0,100.0,0.0,8,Sunday,2012-07,28,True,Morning,Medium,False
2621,photo,2012-07-15 23:49:00,12,3,0,12,0,0,0,0,0,12,0,15,4.0,0.0,100.0,0.0,23,Sunday,2012-07,28,True,Night,Low,False
2620,photo,2012-07-16 01:50:00,31,17,0,31,0,0,0,0,0,31,0,48,1.8235294117647058,0.0,100.0,0.0,1,Monday,2012-07,29,False,Overnight,Medium,False
2619,photo,2012-07-16 08:01:00,14,14,0,14,0,0,0,0,0,14,0,28,1.0,0.0,100.0,0.0,8,Monday,2012-07,29,False,Morning,Medium,False
2618,photo,2012-07-16 08:20:00,20,1,0,20,0,0,0,0,0,20,0,21,20.0,0.0,100.0,0.0,8,Monday,2012-07,29,False,Morning,Low,False
2617,photo,2012-07-16 08:33:00,22,0,0,22,0,0,0,0,0,22,0,22,0.0,0.0,100.0,0.0,8,Monday,2012-07,29,False,Morning,Low,False
2616,photo,2012-07-16 08:46:00,48,17,2,48,0,0,0,0,0,48,0,67,2.823529411764706,0.029850746268656716,100.0,0.0,8,Monday,2012-07,29,False,Morning,Medium,False
2615,photo,2012-07-16 09:05:00,21,0,0,21,0,0,0,0,0,21,0,21,0.0,0.0,100.0,0.0,9,Monday,2012-07,29,False,Morning,Low,False
2614,photo,2012-07-16 09:38:00,25,0,0,25,0,0,0,0,0,25,0,25,0.0,0.0,100.0,0.0,9,Monday,2012-07,29,False,Morning,Low,False
2613,photo,2012-07-16 22:03:00,13,3,0,13,0,0,0,0,0,13,0,16,4.333333333333333,0.0,100.0,0.0,22,Monday,2012-07,29,False,Night,Low,False
2612,photo,2012-07-16 23:25:00,29,10,2,29,0,0,0,0,0,29,0,41,2.9,0.04878048780487805,100.0,0.0,23,Monday,2012-07,29,False,Night,Medium,False
2611,photo,2012-07-17 04:14:00,19,2,0,19,0,0,0,0,0,19,0,21,9.5,0.0,100.0,0.0,4,Tuesday,2012-07,29,False,Overnight,Low,False
2610,photo,2012-07-17 07:49:00,13,3,0,13,0,0,0,0,0,13,0,16,4.333333333333333,0.0,100.0,0.0,7,Tuesday,2012-07,29,False,Morning,Low,False
2609,photo,2012-07-17 23:20:00,18,2,0,18,0,0,0,0,0,18,0,20,9.0,0.0,100.0,0.0,23,Tuesday,2012-07,29,False,Night,Low,False
2608,photo,2012-07-18 00:17:00,25,9,0,25,0,0,0,0,0,25,0,34,2.7777777777777777,0.0,100.0,0.0,0,Wednesday,2012-07,29,False,Overnight,Medium,False
2607,photo,2012-07-18 00:27:00,15,13,0,15,0,0,0,0,0,15,0,28,1.1538461538461537,0.0,100.0,0.0,0,Wednesday,2012-07,29,False,Overnight,Medium,False
2606,photo,2012-07-18 04:12:00,17,2,0,17,0,0,0,0,0,17,0,19,8.5,0.0,100.0,0.0,4,Wednesday,2012-07,29,False,Overnight,Low,False
2605,photo,2012-07-18 05:04:00,19,7,0,19,0,0,0,0,0,19,0,26,2.7142857142857144,0.0,100.0,0.0,5,Wednesday,2012-07,29,False,Overnight,Low,False
2604,photo,2012-07-18 09:17:00,25,8,0,25,0,0,0,0,0,25,0,33,3.125,0.0,100.0,0.0,9,Wednesday,2012-07,29,False,Morning,Medium,False
2603,photo,2012-07-18 09:21:00,20,7,0,20,0,0,0,0,0,20,0,27,2.857142857142857,0.0,100.0,0.0,9,Wednesday,2012-07,29,False,Morning,Low,False
2602,photo,2012-07-18 09:24:00,14,0,0,14,0,0,0,0,0,14,0,14,0.0,0.0,100.0,0.0,9,Wednesday,2012-07,29,False,Morning,Low,False
2601,photo,2012-07-18 09:31:00,23,5,0,23,0,0,0,0,0,23,0,28,4.6,0.0,100.0,0.0,9,Wednesday,2012-07,29,False,Morning,Medium,False
2600,photo,2012-07-18 23:31:00,16,0,0,16,0,0,0,0,0,16,0,16,0.0,0.0,100.0,0.0,23,Wednesday,2012-07,29,False,Night,Low,False
2599,photo,2012-07-18 23:46:00,10,2,0,10,0,0,0,0,0,10,0,12,5.0,0.0,100.0,0.0,23,Wednesday,2012-07,29,False,Night,Low,False
2598,photo,2012-07-18 23:57:00,18,20,0,18,0,0,0,0,0,18,0,38,0.9,0.0,100.0,0.0,23,Wednesday,2012-07,29,False,Night,Medium,False
2597,photo,2012-07-19 05:49:00,62,19,0,62,0,0,0,0,0,62,0,81,3.263157894736842,0.0,100.0,0.0,5,Thursday,2012-07,29,False,Overnight,Medium,False
2596,photo,2012-07-19 06:54:00,34,2,0,34,0,0,0,0,0,34,0,36,17.0,0.0,100.0,0.0,6,Thursday,2012-07,29,False,Morning,Medium,False
2595,photo,2012-07-19 23:20:00,23,6,0,23,0,0,0,0,0,23,0,29,3.8333333333333335,0.0,100.0,0.0,23,Thursday,2012-07,29,False,Night,Medium,False
2594,photo,2012-07-19 23:52:00,32,24,0,32,0,0,0,0,0,32,0,56,1.3333333333333333,0.0,100.0,0.0,23,Thursday,2012-07,29,False,Night,Medium,False
2593,photo,2012-07-20 06:51:00,12,4,0,12,0,0,0,0,0,12,0,16,3.0,0.0,100.0,0.0,6,Friday,2012-07,29,False,Morning,Low,False
2592,photo,2012-07-20 08:02:00,32,1,0,32,0,0,0,0,0,32,0,33,32.0,0.0,100.0,0.0,8,Friday,2012-07,29,False,Morning,Medium,False
2591,photo,2012-07-20 08:43:00,30,33,0,30,0,0,0,0,0,30,0,63,0.9090909090909091,0.0,100.0,0.0,8,Friday,2012-07,29,False,Morning,Medium,False
2590,photo,2012-07-21 07:49:00,17,4,0,17,0,0,0,0,0,17,0,21,4.25,0.0,100.0,0.0,7,Saturday,2012-07,29,True,Morning,Low,False
2589,photo,2012-07-21 22:31:00,13,2,0,13,0,0,0,0,0,13,0,15,6.5,0.0,100.0,0.0,22,Saturday,2012-07,29,True,Night,Low,False
2588,photo,2012-07-22 01:26:00,23,32,0,23,0,0,0,0,0,23,0,55,0.71875,0.0,100.0,0.0,1,Sunday,2012-07,29,True,Overnight,Medium,False
2587,photo,2012-07-22 04:30:00,12,1,0,12,0,0,0,0,0,12,0,13,12.0,0.0,100.0,0.0,4,Sunday,2012-07,29,True,Overnight,Low,False
2586,photo,2012-07-22 09:21:00,15,5,0,15,0,0,0,0,0,15,0,20,3.0,0.0,100.0,0.0,9,Sunday,2012-07,29,True,Morning,Low,False
2585,photo,2012-07-22 22:43:00,19,3,0,19,0,0,0,0,0,19,0,22,6.333333333333333,0.0,100.0,0.0,22,Sunday,2012-07,29,True,Night,Low,False
2584,photo,2012-07-23 01:39:00,34,14,0,34,0,0,0,0,0,34,0,48,2.4285714285714284,0.0,100.0,0.0,1,Monday,2012-07,30,False,Overnight,Medium,False
2583,photo,2012-07-24 00:03:00,22,2,0,22,0,0,0,0,0,22,0,24,11.0,0.0,100.0,0.0,0,Tuesday,2012-07,30,False,Overnight,Low,False
2582,photo,2012-07-24 01:32:00,30,4,1,30,0,0,0,0,0,30,0,35,7.5,0.02857142857142857,100.0,0.0,1,Tuesday,2012-07,30,False,Overnight,Medium,False
2581,photo,2012-07-24 08:49:00,36,18,1,36,0,0,0,0,0,36,0,55,2.0,0.01818181818181818,100.0,0.0,8,Tuesday,2012-07,30,False,Morning,Medium,False
2580,photo,2012-07-24 10:35:00,16,2,0,16,0,0,0,0,0,16,0,18,8.0,0.0,100.0,0.0,10,Tuesday,2012-07,30,False,Morning,Low,False
2579,photo,2012-07-24 10:35:00,20,5,0,20,0,0,0,0,0,20,0,25,4.0,0.0,100.0,0.0,10,Tuesday,2012-07,30,False,Morning,Low,False
2578,photo,2012-07-24 23:56:00,30,7,0,30,0,0,0,0,0,30,0,37,4.285714285714286,0.0,100.0,0.0,23,Tuesday,2012-07,30,False,Night,Medium,False
2577,photo,2012-07-24 23:57:00,32,4,0,32,0,0,0,0,0,32,0,36,8.0,0.0,100.0,0.0,23,Tuesday,2012-07,30,False,Night,Medium,False
2576,photo,2012-07-25 03:32:00,16,7,0,16,0,0,0,0,0,16,0,23,2.2857142857142856,0.0,100.0,0.0,3,Wednesday,2012-07,30,False,Overnight,Low,False
2575,photo,2012-07-25 05:02:00,18,3,0,18,0,0,0,0,0,18,0,21,6.0,0.0,100.0,0.0,5,Wednesday,2012-07,30,False,Overnight,Low,False
2574,photo,2012-07-25 07:51:00,33,12,0,33,0,0,0,0,0,33,0,45,2.75,0.0,100.0,0.0,7,Wednesday,2012-07,30,False,Morning,Medium,False
2573,photo,2012-07-25 07:53:00,19,30,0,19,0,0,0,0,0,19,0,49,0.6333333333333333,0.0,100.0,0.0,7,Wednesday,2012-07,30,False,Morning,Medium,False
