source,target,relationship,strength
AI,CV,includes,3
AI,NLP,includes,3
AI,RS,includes,3
CV,DL,uses,3
NLP,DL,uses,3
RS,CF,uses,3
RS,GNN,uses,2
GNN,DL,related_to,2
DL,PyTorch,implemented_with,3
CF,Python,implemented_with,2
GNN,NetworkX,prototyped_with,2
HCI,EduTech,applied_to,2
RS,EduTech,applied_to,3
CV,SmartMedia,applied_to,3
NLP,SmartMedia,applied_to,2
EduTech,Engage,generates,3
SmartMedia,Engage,generates,2
RS,Personalize,generates,3
HCI,Personalize,supports,2
Python,NetworkX,ecosystem_link,1
Python,PyTorch,ecosystem_link,1
