source,target,weight
0,1,2
0,2,1
0,3,5
0,5,4
0,7,4
0,9,3
0,10,2
0,11,9
0,13,2
0,14,10
0,17,7
0,18,1
0,19,1
0,20,2
0,22,4
0,23,4
0,25,9
0,28,10
0,32,1
0,36,9
0,38,4
0,44,9
0,45,7
0,47,4
0,50,8
0,57,10
0,60,5
0,61,1
0,68,3
0,71,7
0,77,6
0,78,5
0,86,3
0,88,4
0,91,6
0,98,2
1,3,2
1,4,7
1,6,2
1,7,6
1,8,6
1,15,10
1,17,5
1,21,1
1,27,8
1,28,9
1,43,2
1,45,7
1,49,2
1,65,9
1,67,5
1,75,10
1,78,6
1,97,10
1,99,4
2,4,2
2,16,1
2,41,4
2,57,5
2,79,2
3,8,4
4,5,2
4,6,7
4,12,5
4,13,8
4,15,6
4,16,3
4,18,6
4,19,6
4,23,4
4,30,5
4,36,2
4,40,10
4,53,3
4,62,9
4,64,4
4,69,3
4,74,8
4,80,7
4,83,5
4,86,9
4,87,4
4,93,6
4,99,1
5,11,4
5,12,1
5,22,6
5,24,7
5,30,5
5,33,2
5,34,4
5,39,10
5,42,6
5,62,4
5,67,8
6,9,7
6,29,8
6,31,3
6,37,5
6,50,3
6,55,4
6,60,9
6,82,9
7,59,5
8,10,10
8,14,7
8,20,10
8,26,7
10,32,6
10,51,4
10,58,3
10,85,9
10,95,8
11,61,2
12,37,1
12,84,2
13,26,3
13,40,3
15,46,7
15,47,10
15,73,2
16,21,7
16,33,7
16,43,10
16,49,8
16,68,9
16,96,5
17,38,9
17,46,1
17,52,2
18,51,9
18,54,5
19,24,6
21,25,2
21,34,5
21,75,7
22,42,3
22,76,8
24,27,1
24,35,5
24,72,9
25,35,3
26,29,9
26,64,2
26,65,5
26,84,9
26,91,10
27,44,4
27,56,3
27,90,6
27,92,3
29,31,9
30,98,9
31,39,1
31,55,10
31,56,6
32,81,8
32,82,1
33,48,2
33,59,6
33,97,5
34,58,4
35,71,1
35,89,4
37,41,10
37,53,2
37,81,2
39,70,8
41,93,2
43,48,9
43,80,3
45,63,3
45,69,8
49,52,9
49,54,3
49,76,5
49,95,9
50,66,10
50,72,7
50,88,4
52,63,9
57,70,4
57,85,5
57,94,7
59,96,6
61,66,8
62,87,9
64,79,8
66,73,2
66,74,4
69,77,4
69,89,2
74,83,6
79,90,1
79,92,10
87,94,9
